month,geoid,tract,type
2018-10-01,36067002101,21.01,Larceny
2018-10-01,36067004400,44,Larceny
2018-10-01,36067000900,09,Larceny
2018-10-01,36067000900,09,Larceny
2018-10-01,36067004400,44,Larceny
2018-10-01,36067000100,01,Larceny
2018-10-01,36067002300,23,Robbery
2018-10-01,36067001000,10,Vehicle theft
2018-10-01,36067001701,17.01,Burglary
2018-10-01,36067001500,15,Burglary
2018-10-01,36067003200,32,Larceny
2018-10-01,36067003500,35,Larceny
2018-10-01,36067000400,04,Larceny
2018-10-01,36067003200,32,Larceny
2018-10-01,36067001500,15,Larceny
2018-10-01,36067000100,01,Larceny
2018-10-01,36067003601,36.01,Larceny
2018-10-01,36067001400,14,Robbery
2018-10-01,36067003500,35,Vehicle theft
2018-10-01,36067003800,38,Aggravated assault
2018-10-01,36067003500,35,Aggravated assault
2018-10-01,36067001400,14,Aggravated assault
2018-10-01,36067000501,05.01,Burglary
2018-10-01,36067005100,51,Larceny
2018-10-01,36067003200,32,Larceny
2018-10-01,36067002400,24,Larceny
2018-10-01,36067005500,55,Larceny
2018-10-01,36067003602,36.02,Larceny
2018-10-01,36067005200,52,Murder
2018-10-01,36067002101,21.01,Aggravated assault
2018-10-01,36067001702,17.02,Burglary
2018-10-01,36067000700,07,Burglary
2018-10-01,36067000100,01,Larceny
2018-10-01,36067005400,54,Larceny
2018-10-01,36067000900,09,Larceny
2018-10-01,36067003602,36.02,Larceny
2018-10-01,36067005800,58,Larceny
2018-10-01,36067001500,15,Larceny
2018-10-01,36067000200,02,Robbery
2018-10-01,36067000600,06,Vehicle theft
2018-10-01,36067001500,15,Aggravated assault
2018-10-01,36067005400,54,Aggravated assault
2018-10-01,36067005200,52,Aggravated assault
2018-10-01,36067003200,32,Burglary
2018-10-01,36067004900,49,Burglary
2018-10-01,36067003000,30,Burglary
2018-10-01,36067000100,01,Larceny
2018-10-01,36067000100,01,Larceny
2018-10-01,36067006103,61.03,Larceny
2018-10-01,36067006101,61.01,Larceny
2018-10-01,36067002101,21.01,Larceny
2018-10-01,36067005200,52,Larceny
2018-10-01,36067001500,15,Larceny
2018-10-01,36067000700,07,Larceny
2018-10-01,36067002000,20,Larceny
2018-10-01,36067000300,03,Larceny
2018-10-01,36067003400,34,Larceny
2018-10-01,36067003601,36.01,Larceny
2018-10-01,36067000900,09,Larceny
2018-10-01,36067002101,21.01,Larceny
2018-10-01,36067001702,17.02,Larceny
2018-10-01,36067000700,07,Larceny
2018-10-01,36067005100,51,Vehicle theft
2018-10-01,36067005601,56.01,Vehicle theft
2018-10-01,36067000501,05.01,Vehicle theft
2018-09-01,36067001500,15,Aggravated assault
2018-09-01,36067003200,32,Aggravated assault
2018-09-01,36067001600,16,Aggravated assault
2018-09-01,36067003200,32,Burglary
2018-09-01,36067000600,06,Burglary
2018-09-01,36067000400,04,Larceny
2018-09-01,36067001500,15,Larceny
2018-09-01,36067002101,21.01,Larceny
2018-09-01,36067000100,01,Larceny
2018-09-01,36067005000,50,Larceny
2018-09-01,36067003200,32,Larceny
2018-09-01,36067003200,32,Larceny
2018-09-01,36067003200,32,Larceny
2018-09-01,36067000100,01,Larceny
2018-09-01,36067003200,32,Larceny
2018-09-01,36067003200,32,Larceny
2018-09-01,36067003200,32,Larceny
2018-09-01,36067004400,44,Larceny
2018-09-01,36067000100,01,Larceny
2018-09-01,36067005400,54,Aggravated assault
2018-09-01,36067006101,61.01,Aggravated assault
2018-09-01,36067003500,35,Burglary
